"","control_1","control_2","control_3","control_4","control_5","tumor_1","tumor_2","tumor_3","tumor_4","tumor_5"
"LOC101929372",0,0,0,4,3,6,0,0,3,0
"LOC101929374",0,2,0,1,2,0,0,0,0,0
"LOC101929380",0,0,0,1,0,0,0,0,0,0
"LOC101929384",0,0,2,0,2,2,8,2,2,17
"LOC101929395",1,1,0,0,1,1,3,5,1,3
"LOC101929406",0,0,0,0,0,0,0,0,0,0
"LOC101929412",3,0,0,5,6,0,0,0,0,0
"LOC101929413",0,0,0,0,3,0,0,1,0,1
"LOC101929420",0,0,0,0,0,1,0,0,0,0
"LOC101929427",0,0,0,0,0,0,2,16,1,0
"LOC101929439",12,8,11,9,5,3,5,1,2,7
"LOC101929452",0,0,0,0,0,0,0,0,0,0
"LOC101929454",0,0,0,0,0,0,0,0,0,0
"LOC101929478",0,0,0,0,0,0,0,0,0,0
"LOC101929486",0,0,0,1,0,0,0,0,0,0
"LOC101929505",0,0,0,0,0,0,0,0,0,0
"LOC101929512",1,0,0,0,0,0,0,0,0,1
"LOC101929524",0,0,0,0,0,0,0,2,1,0
"LOC101929526",0,0,0,0,0,0,0,0,0,0
"LOC101929528",0,0,0,0,0,0,0,0,0,0
"LOC101929532",12,7,6,446,184,591,1059,666,973,688
"LOC101929539",0,0,0,0,0,4,0,1,0,0
"LOC101929549",0,0,0,0,0,0,0,2,0,0
"LOC101929551",0,1,0,0,0,0,0,0,0,0
"LOC101929555",2,0,1,2,4,7,3,7,3,3
"LOC101929567",0,0,0,5,1,10,11,5,1,10
"LOC101929570",0,0,0,0,0,0,0,0,0,0
"LOC101929572",0,0,0,0,0,0,0,0,0,0
"LOC101929584",0,1,0,0,0,0,0,0,0,0
"LOC101929586",1,3,0,11,19,39,5,4,18,5
"LOC101929591",0,0,0,0,0,0,0,0,0,0
"LOC101929596",0,0,0,2,2,4,1,3,6,3
"LOC101929607",1,0,0,0,0,2,1,0,0,1
"LOC101929608",0,0,0,1,1,0,0,0,0,0
"LOC101929613",0,0,0,1,0,0,0,2,0,0
"LOC101929625",0,0,0,0,0,0,1,0,0,0
"LOC101929631",0,0,0,0,0,0,0,0,0,0
"LOC101929633",0,4,4,2,5,2,0,0,0,2
"LOC101929645",0,0,0,0,0,0,0,0,1,0
"LOC101929653",0,0,0,0,0,0,0,0,0,0
"LOC101929655",3,5,5,12,8,4,4,8,3,10
"LOC101929657",0,0,1,5,5,2,2,6,4,3
"LOC101929663",0,0,0,0,0,0,0,0,0,0
"LOC101929664",7,11,9,46,45,71,47,30,56,36
"LOC101929679",0,0,0,0,1,1,1,1,0,1
"LOC101929680",6,9,5,39,34,96,56,14,8,12
"LOC101929681",0,0,0,0,0,0,1,0,0,0
"LOC101929685",0,0,0,0,0,0,0,0,0,0
"LOC101929690",0,0,0,0,0,0,0,0,0,0
"LOC101929694",0,0,0,0,0,0,0,0,0,0
"LOC101929696",0,0,0,0,0,0,0,0,0,0
"LOC101929698",1,1,0,1,2,3,9,4,5,3
"LOC101929701",0,0,0,0,0,0,0,0,0,0
"LOC101929715",0,0,0,2,2,2,0,5,1,2
"LOC101929717",0,0,0,0,3,0,0,0,0,0
"LOC101929718",30,55,42,210,129,165,257,191,114,172
"LOC101929723",0,0,0,6,3,17,10,22,18,22
"LOC101929733",0,0,1,0,1,1,0,0,0,0
"LOC101929736",0,0,0,0,0,0,0,0,1,0
"LOC101929743",0,0,0,0,4,0,0,0,0,0
"LOC101929746",0,1,0,0,0,2,23,6,5,9
"LOC101929753",0,0,0,0,0,0,0,0,0,0
"LOC101929760",0,0,0,0,0,0,2,2,0,0
"LOC101929765",0,0,0,0,0,0,1,0,0,0
"LOC101929767",0,2,0,1,4,3,4,5,3,1
"LOC101929829",0,0,0,0,0,0,0,0,0,0
"LOC101930452",0,0,3,0,3,4,5,3,3,4
"LOC102031319",0,0,0,0,0,1,0,0,0,0
"LOC102060414",0,0,0,0,0,0,0,0,0,0
"LOC102288414",0,1,0,0,2,2,0,0,0,1
"LOC102467073",0,0,0,2,0,0,1,0,0,1
"LOC102467074",0,0,0,0,0,0,0,0,0,0
"LOC102467075",0,0,0,0,0,0,0,0,0,0
