"","control_1","control_2","control_3","control_4","control_5","tumor_1","tumor_2","tumor_3","tumor_4","tumor_5"
"GPC3",74,624,228,1421,1441,907,187,357,568,295
"GPC4",162,186,164,540,650,1078,826,996,819,450
"GPC5",0,2,0,15,35,21,15,1,4,3
"GPC5-AS1",0,7,1,7,106,2,0,1,1,0
"GPC5-AS2",0,0,0,0,0,0,0,0,1,0
"GPC6",13,16,5,287,369,583,981,573,1494,742
"GPC6-AS1",0,0,0,1,0,0,0,0,0,0
"GPC6-AS2",0,0,0,0,0,0,0,0,0,0
"GPCPD1",97,141,130,724,777,1190,1017,814,1296,1363
"GPD1",19,77,33,47,258,142,362,60,405,971
"GPD1L",228,306,254,674,840,612,670,511,780,608
"GPD2",148,153,136,614,835,1394,1190,1089,1030,1533
"GPER1",7,15,15,19,44,14,97,24,56,22
"GPHA2",751,1671,662,625,204,3,0,0,0,0
"GPHB5",0,0,0,0,0,0,0,0,0,0
"GPHN",103,106,155,310,297,203,292,261,240,219
"GPI",399,422,506,2053,1938,3548,3906,7591,3378,3118
"GPIHBP1",4,9,9,22,39,38,17,10,83,17
"GPKOW",63,88,83,367,260,537,490,446,463,442
"GPLD1",10,13,8,28,39,41,27,26,71,24
"GPM6A",4,13,14,109,163,54,4,5,61,15
"GPM6B",17,33,19,85,172,62,252,32,332,345
"GPN1",297,271,243,673,656,1036,1258,1116,866,893
"GPN2",67,62,75,226,180,191,343,305,226,265
"GPN3",94,105,106,362,362,448,457,380,525,476
"GPNMB",284,346,327,11877,3889,11008,11210,7270,13761,17552
"GPR1",1,1,3,8,13,19,221,157,119,93
"GPR1-AS",0,0,0,0,0,0,0,0,0,0
"GPR101",0,0,0,0,0,0,0,0,0,0
"GPR107",359,433,359,1272,1553,2839,2758,2433,2722,2666
"GPR108",272,267,284,839,644,1153,922,654,865,515
"GPR110",4,0,2,115,59,831,614,255,696,1209
"GPR111",0,0,0,0,4,5,14,1,0,20
"GPR112",0,0,0,1,4,0,4,0,3,0
"GPR113",9,7,12,21,41,51,62,24,34,35
"GPR114",7,5,5,60,34,78,72,9,101,47
"GPR115",1,0,1,7,15,276,193,125,84,333
"GPR116",92,88,98,689,650,1148,708,496,1490,686
"GPR119",2,4,1,32,49,27,0,2,9,0
"GPR12",0,0,0,0,0,0,0,0,3,0
"GPR123",0,1,0,8,38,7,2,43,10,9
"GPR124",133,167,127,1923,2863,5351,1624,2940,4220,2114
"GPR125",232,280,270,780,782,980,1328,659,924,1421
"GPR126",69,73,37,498,536,1228,1827,672,1313,309
"GPR128",1,0,0,3,6,5,57,529,40,98
"GPR132",11,1,7,73,102,173,103,101,347,271
"GPR133",83,65,86,260,319,559,193,160,584,286
"GPR135",7,4,3,15,16,16,10,5,13,10
"GPR137",97,93,103,357,382,499,564,691,615,482
"GPR137B",29,25,22,342,273,558,778,529,1018,1159
"GPR137C",1,5,5,23,24,19,48,18,39,30
"GPR139",0,0,0,0,0,0,0,0,0,0
"GPR141",1,1,0,17,14,54,35,15,51,40
"GPR142",2,0,0,12,21,11,0,0,3,3
"GPR143",6,1,7,30,19,148,78,14,159,10
"GPR146",14,38,32,119,83,74,64,69,88,53
"GPR148",1,1,0,1,2,4,0,0,0,0
"GPR149",1,0,0,0,0,4,0,0,0,0
"GPR15",0,0,0,15,17,5,1,2,8,11
"GPR150",5,9,5,11,8,5,1,1,4,3
"GPR151",0,0,0,0,0,0,0,0,0,0
"GPR152",0,0,1,0,1,9,14,4,6,3
"GPR153",14,17,14,224,431,691,326,317,768,365
"GPR155",259,236,324,528,384,270,271,158,514,246
"GPR156",0,0,0,1,4,3,13,4,3,2
"GPR157",3,4,6,24,35,61,59,32,81,47
"GPR158",3,2,4,16,25,8,11,26,16,2
"GPR158-AS1",0,3,0,1,2,1,1,2,0,0
"GPR160",124,170,196,513,541,562,481,572,351,1411
"GPR161",148,195,183,285,384,719,565,435,781,468
"GPR162",5,2,6,79,141,119,36,61,111,48
"GPR17",4,0,0,5,8,6,4,0,2,9
"GPR171",2,1,4,68,115,35,58,9,222,31
"GPR173",3,4,0,29,68,40,70,74,31,37
"GPR174",0,0,1,28,24,19,20,3,37,4
"GPR176",24,25,11,278,169,476,483,574,504,357
"GPR179",0,1,0,4,3,5,1,2,1,1
"GPR18",0,1,1,43,36,32,15,5,34,15
"GPR180",73,93,107,329,377,475,738,374,515,684
"GPR182",0,1,0,2,5,3,1,0,5,2
"GPR183",38,14,38,287,802,190,544,312,1240,1912
"GPR19",1,1,1,8,21,12,7,20,8,13
"GPR20",1,0,1,2,7,14,13,11,12,14
"GPR21",0,0,1,0,2,15,11,2,1,5
"GPR22",0,0,0,1,5,0,1,0,0,0
"GPR25",1,0,0,5,8,13,6,0,6,3
"GPR26",0,0,0,0,0,0,0,0,0,1
"GPR27",6,12,3,16,28,12,10,10,29,9
"GPR3",0,1,1,3,17,6,11,14,14,8
"GPR31",0,0,0,2,1,3,0,0,1,8
"GPR32",0,0,0,0,0,0,0,0,0,0
"GPR33",0,0,0,2,1,1,0,0,0,0
"GPR34",64,40,48,701,500,629,856,537,2160,807
"GPR35",2,12,1,57,215,372,449,443,147,687
"GPR37",20,13,11,86,41,37,11,6,6,6
"GPR37L1",1,0,3,3,5,5,8,6,16,14
"GPR39",53,43,79,421,274,473,564,325,369,222
"GPR4",11,6,5,66,163,133,80,89,127,177
"GPR45",0,0,0,1,2,0,1,0,3,1
"GPR50",0,0,0,0,0,0,0,0,0,1
"GPR52",0,0,0,1,0,0,0,0,0,1
"GPR55",3,1,0,16,13,34,19,9,35,18
"GPR56",432,338,474,1333,1439,2944,4126,2476,1528,3296
"GPR6",0,0,0,0,4,0,0,0,0,0
"GPR61",0,0,0,4,0,1,1,1,1,0
"GPR62",0,1,1,4,4,7,6,4,6,4
"GPR63",28,27,34,84,65,225,74,222,99,52
"GPR64",8,13,3,83,117,58,51,21,80,91
"GPR65",24,9,23,333,332,435,391,127,316,290
"GPR68",5,2,5,184,210,352,366,207,523,416
"GPR75",2,3,6,13,9,12,10,6,11,6
"GPR75-ASB3",0,0,0,0,0,0,0,0,0,0
"GPR78",0,0,0,0,0,5,41,0,0,3
"GPR82",0,3,4,21,5,84,48,48,56,38
"GPR83",1,1,0,1,2,2,0,1,5,3
"GPR84",1,1,1,27,21,39,70,45,20,67
"GPR85",0,2,2,23,46,80,72,40,73,80
"GPR87",0,1,0,1,2,157,313,195,47,260
"GPR88",1,5,3,7,29,16,11,2,19,4
"GPR89A",17,20,30,29,43,51,41,58,34,65
"GPR89B",5,9,9,17,20,20,17,8,14,25
"GPR97",3,0,0,9,21,12,33,14,76,63
"GPR98",70,80,69,116,179,53,6,37,9,3
"GPRASP1",23,81,55,423,583,572,225,302,541,202
"GPRASP2",3,0,0,3,2,4,4,2,6,2
"GPRC5A",14,15,16,174,825,2878,6396,5729,4281,10664
"GPRC5B",167,236,193,1269,808,1025,443,495,555,1009
"GPRC5C",685,336,387,499,443,525,315,573,444,382
"GPRC5D",2,0,2,9,3,2,5,11,4,10
"GPRC6A",0,0,0,0,0,0,0,2,0,0
"GPRIN1",4,7,3,23,56,107,109,104,85,179
"GPRIN2",11,31,31,94,86,153,29,116,22,129
"GPRIN3",84,109,84,300,386,379,384,161,449,453
"GPS1",292,340,322,992,744,1235,1075,971,1017,934
"GPS2",111,128,114,505,362,455,438,558,608,473
"GPSM1",41,91,49,150,190,224,164,201,334,228
"GPSM2",27,28,24,75,142,226,293,253,289,308
"GPSM3",0,0,0,3,0,0,0,0,11,0
"GPT",53,43,40,74,79,6,231,37,10,30
"GPT2",1776,959,1127,785,871,227,453,277,217,446
"GPX1",718,535,549,3487,2762,5757,9311,6042,6888,7237
"GPX2",43,49,12,721,2642,1928,1855,6924,823,16060
"GPX3",457,492,309,2042,4381,1613,2242,944,5303,1224
"GPX4",401,476,288,1611,1780,2368,2658,2850,2898,2288
"GPX5",0,0,0,0,0,0,0,0,0,0
"GPX6",0,0,0,0,0,0,0,0,0,0
"GPX7",47,107,49,270,211,309,415,282,619,287
"GPX8",110,95,117,849,937,2457,2639,1922,2725,1752
"GRAMD1A",350,307,300,686,1048,1309,768,881,1408,1717
"GRAMD1B",9,10,4,102,194,170,206,370,232,231
"GRAMD1C",161,151,215,511,371,248,384,167,70,246
"GRAMD2",0,0,2,8,14,12,69,50,27,32
"GRAMD3",51,63,81,387,382,810,701,595,772,636
"GRAMD4",114,176,124,368,788,647,526,629,678,1492
"GRAP",5,4,4,75,67,110,82,45,154,73
"GRAP2",1,4,3,50,78,59,52,32,82,35
"GRAPL",2,0,0,2,3,6,3,3,2,2
"GRASP",21,25,25,149,351,184,106,146,420,345
"GRB10",673,830,702,1728,1185,1098,524,782,660,856
"GRB14",141,135,209,434,172,54,14,11,7,12
"GRB2",375,333,272,1430,1847,3689,3143,2487,3496,4071
"GRB7",100,102,154,393,350,269,273,511,240,745
"GREB1",24,34,36,67,79,132,99,101,312,115
"GREB1L",3,1,1,4,7,30,126,30,54,17
"GREM1",46,51,30,659,942,2293,3792,7710,3767,6792
"GREM2",1,0,4,63,98,69,352,50,377,40
"GRHL1",25,26,23,91,65,300,143,184,302,125
"GRHL2",118,169,143,377,342,284,318,378,208,320
"GRHL3",2,1,4,7,7,24,2,8,19,7
"GRHPR",381,441,449,1222,855,1017,1335,1331,1266,1334
"GRIA1",2,2,3,5,27,1,1,1,3,2
"GRIA2",1,7,3,49,65,22,2,2,11,2
"GRIA3",9,8,6,93,140,90,36,36,39,10
"GRIA4",3,1,4,39,44,113,1,9,5,12
"GRID1",18,25,10,106,124,295,73,151,198,85
"GRID1-AS1",0,0,0,1,1,1,0,0,0,0
"GRID2",0,0,0,2,1,0,2,0,1,2
"GRID2IP",12,7,5,19,18,32,13,34,11,16
"GRIFIN",0,0,0,0,0,0,0,0,0,0
"GRIK1",0,6,1,5,1,1,2,1,2,0
"GRIK1-AS1",7,3,2,5,7,3,0,3,0,1
"GRIK1-AS2",0,0,1,4,2,4,4,0,4,5
"GRIK2",13,11,11,21,51,21,27,38,27,19
"GRIK3",3,13,4,61,145,348,37,66,117,92
"GRIK4",0,0,0,2,9,6,6,1,4,6
"GRIK5",3,16,12,79,79,43,35,13,62,26
"GRIN1",0,3,1,2,6,1,11,6,2,24
"GRIN2A",6,3,3,20,86,103,11,54,130,14
"GRIN2B",0,0,0,0,1,0,0,3,3,0
"GRIN2C",1,4,1,3,5,0,3,3,6,4
"GRIN2D",0,2,0,32,24,79,154,300,317,222
"GRIN3A",2,1,3,23,16,18,17,5,31,22
"GRIN3B",12,16,5,24,26,41,45,37,26,30
"GRINA",250,216,223,973,1163,1818,1804,2132,3089,2409
"GRIP1",13,11,14,63,46,84,84,70,144,88
"GRIP2",11,2,4,59,59,118,135,230,116,164
"GRIPAP1",125,137,131,550,581,1010,909,842,1010,754
"GRK1",1,0,0,1,1,0,1,0,0,0
"GRK4",13,15,17,24,33,48,24,33,30,26
"GRK5",39,37,25,252,420,455,249,288,766,376
"GRK6",78,79,89,263,414,570,446,693,689,484
"GRK7",0,0,0,0,1,1,1,1,1,0
"GRM1",0,0,2,7,0,9,5,8,5,24
"GRM2",1,0,0,5,6,9,4,1,6,14
"GRM3",0,0,0,3,1,20,1,5,3,3
"GRM4",7,0,8,28,27,18,0,5,3,0
"GRM5",0,0,0,3,1,8,18,1,9,5
"GRM5-AS1",0,0,0,2,0,2,24,0,4,3
"GRM6",1,0,0,8,7,12,5,6,9,2
"GRM7",3,0,1,5,31,4,3,1,26,3
"GRM8",3,6,4,26,9,19,13,22,5,14
"GRN",728,655,663,5407,2665,13027,9138,12582,8654,9007
"GRP",4,29,0,18,83,408,228,316,98,108
"GRPEL1",134,123,119,407,419,405,758,659,532,682
"GRPEL2",73,58,66,248,264,360,341,424,300,254
"GRPR",78,116,156,94,140,9,8,0,6,4
"GRSF1",617,543,544,1460,1510,1658,2137,2050,1934,2013
"GRTP1",13,26,29,101,131,155,190,268,149,314
"GRTP1-AS1",0,8,6,15,34,24,55,65,33,46
"GRWD1",135,123,99,327,340,560,320,657,647,584
"GRXCR1",0,0,0,0,0,0,0,0,0,0
"GRXCR2",0,0,0,0,0,1,0,0,0,0
"GS1-18A18.1",0,0,0,3,0,0,0,0,0,0
"GS1-24F4.2",1,0,2,8,3,1,1,2,0,0
"GS1-259H13.2",4,4,5,13,12,17,10,27,10,12
"GS1-279B7.1",0,0,0,0,2,0,0,0,0,0
"GS1-600G8.3",0,0,0,0,0,0,0,0,0,0
"GSAP",91,50,109,382,414,416,577,257,440,665
"GSC",1,2,2,17,11,15,21,22,17,7
"GSC2",0,0,0,0,0,0,0,0,0,0
"GSDMA",2,0,0,16,2,17,27,24,14,45
"GSDMB",8,12,24,91,653,624,1453,1889,269,3948
"GSDMC",0,0,0,13,7,13,49,16,15,38
"GSDMD",201,204,140,807,836,1086,655,1295,1240,1152
"GSE1",256,400,397,636,1102,853,530,755,946,687
"GSG1",2,25,21,17,6,2,2,0,0,1
"GSG1L",0,0,0,1,1,19,19,2,36,10
"GSG2",1,1,1,4,5,18,8,21,20,11
"GSK3A",157,181,176,468,627,1086,1124,1057,1178,895
"GSK3B",137,217,172,652,1005,1541,1232,900,1511,1699
"GSKIP",112,109,95,382,559,960,793,1422,924,1307
"GSN",951,1725,1311,9516,12464,19484,16548,13209,14545,10327
"GSN-AS1",29,29,19,331,243,706,896,591,642,514
"GSPT1",563,651,589,1654,1554,2902,2488,2164,2465,3085
"GSPT2",37,59,54,226,245,379,350,251,289,435
"GSR",283,290,284,905,1219,909,1303,600,872,2838
"GSS",76,78,86,462,464,755,925,911,585,1060
"GSTA1",764,1036,483,984,521,701,138,660,48,559
"GSTA2",1211,1156,1044,2453,448,23,8,142,2,10
"GSTA3",6,10,22,0,3,0,0,0,0,0
"GSTA4",281,307,365,489,537,378,270,336,364,260
"GSTA5",1,0,0,1,0,2,0,0,0,0
"GSTA7P",8,13,10,26,5,1,0,0,0,0
"GSTCD",38,33,44,127,140,205,245,249,237,250
"GSTK1",435,528,575,2157,1637,2324,3317,2827,1809,2601
"GSTM1",0,121,1,1,200,240,1,2,4,247
"GSTM2",47,102,84,299,175,150,163,114,163,92
"GSTM2P1",0,0,0,0,0,0,0,0,0,3
"GSTM3",445,575,488,1504,2251,1239,740,1811,866,1698
"GSTM4",98,121,109,561,458,500,183,288,214,528
"GSTM5",12,56,18,316,586,354,39,255,102,195
"GSTO1",453,463,378,1427,1353,2127,2479,2495,1954,2893
"GSTO2",134,167,163,237,206,183,94,270,41,181
"GSTP1",1206,1050,1157,5300,4516,9935,8752,12897,7289,9927
"GSTT1",0,275,291,0,1,0,689,0,0,0
"GSTT2",0,0,0,0,0,0,0,0,0,0
"GSTT2B",0,0,0,0,0,0,0,0,0,0
"GSTTP1",0,0,0,0,0,0,0,0,0,0
"GSTTP2",1,0,0,0,0,1,0,0,0,1
"GSTZ1",111,127,127,227,168,178,625,323,178,266
"GSX1",0,0,0,0,0,0,0,0,0,0
"GSX2",0,0,0,0,1,0,1,1,0,0
"GTDC1",62,61,68,276,363,528,486,410,537,555
"GTF2A1",139,182,224,712,840,1081,1245,1044,1438,1251
"GTF2A1L",0,0,0,0,0,0,0,0,0,0
"GTF2A2",125,127,176,605,601,717,943,929,1044,1021
"GTF2B",149,143,148,519,566,671,885,659,789,893
"GTF2E1",37,44,52,171,240,287,313,245,363,376
"GTF2E2",240,236,253,524,512,591,915,510,679,1089
"GTF2F1",390,443,368,780,925,1126,1145,1108,1484,1099
"GTF2F2",121,123,142,421,399,646,649,729,574,547
"GTF2H1",168,214,182,707,589,951,1271,956,1086,784
"GTF2H2",2,1,3,10,2,1,1,12,2,6
"GTF2H2B",28,38,37,184,162,142,155,136,135,152
"GTF2H2C",0,0,0,0,0,2,0,0,1,1
"GTF2H2C_2",0,0,0,0,0,0,0,0,0,0
"GTF2H3",74,88,86,344,470,640,676,581,637,701
"GTF2H4",1,0,2,17,0,0,8,9,8,0
"GTF2H5",239,190,223,696,657,887,793,888,781,843
"GTF2I",155,146,126,379,609,836,741,932,1033,908
"GTF2IP1",0,0,0,1,1,0,0,0,2,0
"GTF2IRD1",50,42,44,170,198,331,325,443,460,470
"GTF2IRD1P1",53,59,81,226,190,201,267,261,306,205
"GTF2IRD2",7,21,11,32,42,39,29,38,34,25
"GTF2IRD2B",0,0,0,0,0,0,0,0,0,0
"GTF3A",1025,694,782,1473,1423,1825,1819,2631,1929,2109
"GTF3C1",193,312,292,820,919,1588,1246,1104,1508,1263
"GTF3C2",145,176,169,539,561,891,810,670,815,815
"GTF3C2-AS1",35,34,26,94,87,190,169,130,176,148
"GTF3C3",252,234,254,572,594,908,975,820,714,716
"GTF3C4",62,73,37,210,277,374,357,323,435,347
"GTF3C5",177,141,173,558,451,520,655,739,564,507
"GTF3C6",129,124,123,552,496,907,707,593,708,727
"GTPBP1",151,157,128,564,649,916,918,698,908,1017
"GTPBP10",122,96,87,337,400,499,384,557,538,371
"GTPBP2",130,151,133,597,421,982,1086,1044,856,753
"GTPBP3",34,45,35,113,115,137,156,240,171,213
"GTPBP4",146,142,142,631,566,1125,871,877,1048,1478
"GTPBP6",0,2,0,2,2,14,12,8,6,4
"GTPBP8",50,41,66,147,130,201,197,158,153,174
"GTSCR1",0,0,0,0,1,1,2,0,1,1
"GTSE1",9,1,0,14,26,88,83,82,47,64
"GTSE1-AS1",2,2,3,10,9,5,13,6,8,10
"GTSF1",0,0,0,15,17,8,6,0,17,35
"GTSF1L",0,0,0,0,1,0,0,0,0,0
"GUCA1A",0,9,0,0,1,15,15,10,3,8
"GUCA1B",3,5,1,16,13,14,6,20,17,10
"GUCA1C",243,410,464,491,117,0,0,0,0,0
"GUCA2A",0,1,1,40,4,1,0,1,10,0
"GUCA2B",1,0,0,30,6,5,7,2,13,5
"GUCD1",457,428,414,1089,1118,1388,1810,1341,1365,2040
"GUCY1A2",42,72,92,508,466,1159,586,502,1038,443
"GUCY1A3",167,215,218,2160,2529,4414,1282,1104,1701,1211
"GUCY1B2",1,0,0,1,2,46,15,40,9,25
"GUCY1B3",93,87,108,791,648,878,597,531,575,477
"GUCY2C",12,20,14,27,40,25,34,664,65,110
"GUCY2D",0,3,3,1,0,3,9,8,12,4
"GUCY2EP",0,0,1,0,0,0,1,4,0,1
"GUCY2F",0,0,1,1,0,0,0,1,0,0
"GUCY2GP",0,0,0,0,0,1,3,1,1,3
"GUF1",98,124,98,336,375,357,544,427,428,516
"GUK1",934,826,760,2562,2707,4455,5195,5044,4420,5993
"GULP1",207,133,249,499,455,767,910,857,606,467
"GUSB",315,277,298,843,793,1285,888,1440,1171,1108
"GUSBP1",30,24,30,111,110,137,102,106,116,98
"GUSBP10",1,0,0,0,0,0,0,0,0,0
"GUSBP11",14,20,34,210,91,135,144,121,97,133
"GUSBP2",4,1,2,12,6,13,13,11,5,4
"GUSBP3",1,1,0,1,1,3,1,1,3,1
"GUSBP4",7,8,1,28,22,25,28,14,26,21
"GUSBP5",4,4,5,12,16,17,7,28,9,8
"GUSBP9",1,0,0,0,0,0,0,0,0,0
"GVINP1",8,4,16,149,182,183,146,26,545,122
"GXYLT1",60,78,72,386,449,514,553,259,571,532
"GXYLT2",10,15,12,99,86,147,292,114,510,155
"GYG1",290,272,283,794,679,1080,977,698,1064,1129
"GYG2",29,92,47,70,136,137,236,163,244,157
"GYG2P1",4,0,5,23,0,0,11,0,5,0
"GYLTL1B",118,110,94,98,139,35,8,16,17,6
"GYPA",0,0,0,1,1,0,0,0,1,0
"GYPB",0,0,0,0,0,0,0,0,0,0
"GYPC",137,169,152,967,961,928,633,572,1334,617
"GYPE",1,1,1,7,17,20,8,10,14,11
"GYS1",83,99,67,206,332,551,348,811,707,403
"GYS2",2,1,2,2,5,0,0,1,0,1
"GZF1",67,68,61,230,318,462,452,276,541,754
"GZMA",5,13,22,242,322,179,311,50,623,169
"GZMB",4,2,2,38,32,27,79,46,190,59
"GZMH",2,4,10,63,72,68,111,14,240,36
"GZMK",6,20,21,220,403,146,108,27,857,120
"GZMM",4,4,3,46,68,37,33,7,140,23
"H19",379,571,415,1816,6430,1722,2715,829,6044,1995
"H1F0",568,1040,921,2635,2990,3244,3351,5797,3088,5754
"H1FNT",1,0,0,0,0,0,1,0,1,0
"H1FOO",0,0,0,0,0,0,0,0,0,0
"H1FX",236,305,352,846,1178,1314,1077,1924,2031,1259
"H1FX-AS1",11,12,19,58,61,68,51,68,90,46
"H2AFB1",0,0,0,0,0,0,0,0,0,0
"H2AFB2",0,0,0,0,0,0,0,0,0,0
"H2AFB3",0,0,0,0,0,0,0,0,0,0
"H2AFJ",322,333,284,813,730,763,1162,1542,829,1014
"H2AFV",352,446,348,1484,1761,2480,1909,2350,2479,1914
"H2AFX",49,50,49,131,213,278,288,458,360,295
"H2AFY",248,212,216,1530,1557,3443,2093,2631,2497,3769
"H2AFY2",61,81,65,330,246,323,260,491,406,147
"H2AFZ",503,417,425,1627,1726,2286,3963,3994,2132,2939
"H2BFM",0,0,0,0,0,2,1,1,0,1
"H2BFWT",0,0,0,0,0,0,0,3,0,0
"H2BFXP",0,0,0,1,0,0,1,2,0,0
"H3F3A",0,0,0,0,0,0,0,0,0,0
"H3F3AP4",0,0,0,0,0,0,0,0,0,0
"H3F3B",1736,2537,2685,10140,8908,13042,10843,9106,10144,11463
"H3F3C",6,8,7,54,30,40,36,45,46,36
"H6PD",266,342,244,1044,1931,3297,1733,2844,3236,3568
"HAAO",129,108,100,219,179,219,101,212,217,130
"HABP2",116,97,158,1054,510,1017,1,155,17,123
"HABP4",36,43,29,271,411,394,326,483,489,448
"HACE1",51,41,51,221,206,296,245,186,272,175
"HACL1",191,204,184,408,346,321,404,245,317,228
"HADH",273,304,285,1126,873,851,685,1244,956,907
"HADHA",1298,1365,1406,3646,3228,4441,4505,3786,3625,4800
"HADHB",911,894,1005,2737,2434,2727,3163,2628,2664,3485
"HAGH",372,279,316,513,518,610,532,604,565,710
"HAGHL",4,4,4,40,74,86,167,183,80,94
"HAGLR",5,2,7,52,45,58,38,13,58,33
"HAL",0,1,3,5,10,8,3,3,15,11
"HAMP",3,2,1,43,20,49,8,54,19,54
"HAND1",0,0,0,0,2,2,0,4,0,0
"HAND2",33,30,40,386,565,1025,139,1039,342,310
"HAND2-AS1",2,4,3,36,77,73,6,97,20,25
"HAO1",0,0,1,3,0,4,1,1,0,1
"HAO2",1,0,0,1,1,0,1,1,0,1
"HAO2-IT1",0,0,0,0,0,0,0,0,0,0
"HAP1",1,6,0,24,16,5,7,18,3,1
"HAPLN1",0,0,0,3,7,12,206,33,44,11
"HAPLN2",0,2,0,0,1,0,1,2,6,0
"HAPLN3",5,4,2,168,167,488,452,559,806,377
"HAPLN4",1,3,1,5,15,23,11,13,5,8
"HAR1A",0,2,2,8,10,21,19,5,23,21
"HAR1B",0,0,0,2,2,9,3,3,7,9
"HARBI1",16,15,15,55,52,45,104,76,101,87
"HARS",306,320,281,938,784,1198,915,828,1158,1118
"HARS2",118,112,149,549,402,758,540,489,623,772
"HAS1",1,3,2,31,483,27,2,4,74,83
"HAS2",21,2,9,59,557,74,330,184,436,206
"HAS2-AS1",2,0,2,9,46,31,50,41,54,33
"HAS3",118,129,137,488,533,556,600,672,415,602
"HAT1",289,262,254,729,745,1226,1207,1036,1026,1047
"HAUS1",71,72,69,281,302,322,342,283,370,256
"HAUS2",106,101,74,338,440,505,447,583,700,574
"HAUS3",39,57,48,178,183,249,266,197,248,218
"HAUS4",282,291,293,612,670,648,731,760,648,680
"HAUS5",36,34,32,112,143,228,125,226,199,105
"HAUS6",56,67,73,284,257,408,605,302,473,284
"HAUS7",34,28,29,175,108,185,174,244,142,136
"HAUS8",10,12,16,60,59,91,133,189,73,114
"HAVCR1",0,0,0,1,14,275,341,86,4,42
"HAVCR1P1",2,1,2,4,1,4,13,3,2,0
"HAVCR2",54,17,23,464,282,587,710,480,974,1216
"HAX1",739,599,540,1017,1245,1391,1258,1390,1337,2010
"HBA1",4,2,1,13,5,0,11,21,7,10
"HBA2",0,3,1,7,57,2,12,22,9,10
"HBB",27,135,40,237,4584,86,307,950,182,512
"HBBP1",0,0,0,0,0,0,1,0,1,3
"HBD",1,0,0,0,1,2,3,1,1,3
"HBE1",0,0,1,0,1,0,0,0,1,1
"HBEGF",22,15,40,107,763,397,937,231,387,1855
"HBG1",0,1,0,0,2,0,0,0,0,0
"HBG2",0,1,0,0,6,0,0,0,1,2
"HBM",0,0,0,0,0,0,0,1,0,0
"HBP1",738,799,753,2609,1994,2538,3272,2520,2764,2178
"HBQ1",0,0,0,0,0,0,0,0,0,0
"HBS1L",287,375,298,818,717,999,970,776,950,738
"HBZ",0,0,0,0,0,0,0,0,0,0
"HCAR1",0,0,0,0,13,15,29,3,51,3
"HCAR2",5,1,1,2,14,34,113,40,71,73
"HCAR3",1,1,1,3,19,23,76,39,43,88
"HCCAT3",0,0,0,1,1,7,1,1,3,7
"HCCAT5",0,0,0,0,1,0,0,0,0,0
"HCCS",48,47,65,273,280,556,667,524,508,559
"HCFC1",99,158,125,438,721,1082,799,763,1208,846
"HCFC1-AS1",0,0,0,0,0,0,1,0,0,0
"HCFC1R1",57,74,77,587,487,1155,928,1823,860,909
"HCFC2",90,94,116,447,394,520,618,334,634,501
"HCG11",14,42,25,350,367,556,387,326,585,239
"HCG14",0,0,0,0,0,0,0,0,0,0
"HCG17",0,0,0,0,0,0,0,0,0,0
"HCG18",0,1,0,0,0,1,3,3,11,0
"HCG22",0,0,0,0,0,0,0,0,0,0
"HCG23",0,0,0,0,0,0,0,0,0,0
"HCG25",0,0,0,0,0,0,0,0,0,0
"HCG26",0,0,2,3,0,0,4,0,1,0
"HCG27",0,4,1,1,4,2,0,4,2,1
"HCG4",0,25,0,0,0,0,0,0,0,0
"HCG4B",1,0,0,7,4,8,7,5,5,4
"HCG8",0,0,0,1,0,0,0,0,0,1
"HCG9",0,0,0,0,0,1,0,0,0,0
"HCK",35,23,24,426,341,1174,950,486,850,848
"HCLS1",99,69,74,1221,1013,1656,1268,812,2391,1524
"HCN1",40,52,49,15,28,6,2,8,9,14
"HCN2",3,4,1,6,29,20,46,47,50,15
"HCN3",4,10,6,51,67,75,68,72,62,90
"HCN4",1,2,1,6,8,10,1,3,7,1
"HCP5",0,0,0,0,0,0,0,0,0,0
"HCRT",0,0,0,0,2,0,0,2,1,1
"HCRTR1",0,6,0,1,1,0,0,0,1,2
"HCRTR2",0,0,0,0,3,3,0,1,4,1
"HCST",30,22,29,241,282,280,323,141,296,183
"HDAC1",300,342,361,1498,1781,2928,2286,2819,1930,2663
"HDAC10",56,54,49,194,199,294,241,249,290,378
"HDAC11",357,368,360,567,494,416,465,415,324,389
"HDAC2",385,462,398,1346,1163,2450,1638,1755,2049,1376
"HDAC3",232,241,228,709,641,883,649,665,871,765
"HDAC4",54,55,67,189,415,440,246,309,527,229
"HDAC5",286,340,303,1097,948,1417,777,1114,1025,828
"HDAC6",100,118,127,588,447,743,748,744,717,672
"HDAC7",112,105,112,686,875,1407,1214,1043,1832,1222
"HDAC8",73,58,65,244,215,363,451,314,361,286
"HDAC9",13,14,20,334,294,533,432,244,472,676
"HDC",1,2,2,70,69,17,29,48,28,18
"HDDC2",279,275,279,818,877,917,628,1041,854,898
"HDDC3",196,120,131,248,222,246,238,420,275,246
"HDGF",649,564,476,1937,3066,4710,3646,5499,4634,9283
"HDGFL1",0,0,0,0,0,0,0,0,0,0
"HDGFRP2",186,156,161,576,496,1090,741,629,748,515
"HDGFRP3",47,58,53,554,671,738,747,604,1254,657
"HDHD1",34,75,43,244,404,426,265,471,358,743
"HDHD2",224,241,241,640,684,554,481,355,555,545
"HDHD3",149,146,227,535,387,288,657,662,317,861
